"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.78191095548E+007, +6.13135104758E+001, -1.31304302140E+001
+4.80692096048E+007, +6.12602235548E+001, -1.35755768460E+001
+4.83193096548E+007, +6.12057954475E+001, -1.40384587428E+001
+4.85694097049E+007, +6.11344138053E+001, -1.45246569407E+001
+4.88195097549E+007, +6.10586450336E+001, -1.50107773307E+001
+4.90696098049E+007, +6.09715615234E+001, -1.55243704838E+001
+4.93197098549E+007, +6.08657887509E+001, -1.60358952142E+001
+4.95698099050E+007, +6.07332152512E+001, -1.65736108649E+001
+4.98199099550E+007, +6.06032435280E+001, -1.71322597954E+001
+5.00700100050E+007, +6.04432306372E+001, -1.77024061361E+001
+5.03201100550E+007, +6.02640123979E+001, -1.82903230188E+001
+5.05702101051E+007, +6.00594400617E+001, -1.88945155252E+001
+5.08203101551E+007, +5.98407696218E+001, -1.95089631105E+001
+5.10704102051E+007, +5.95960251439E+001, -2.01542658440E+001
+5.13205102551E+007, +5.93223043832E+001, -2.08172131642E+001
+5.15706103052E+007, +5.90050859023E+001, -2.14932725193E+001
+5.18207103552E+007, +5.86745188808E+001, -2.21887971030E+001
+5.20708104052E+007, +5.83084118104E+001, -2.28984468281E+001
+5.23209104552E+007, +5.78900295288E+001, -2.36348208281E+001
+5.25710105053E+007, +5.74404525223E+001, -2.43827141306E+001
+5.28211105553E+007, +5.69516227007E+001, -2.51510695091E+001
+5.30712106053E+007, +5.63962119476E+001, -2.59372277753E+001
+5.33213106553E+007, +5.57927943168E+001, -2.67355024013E+001
+5.35714107054E+007, +5.51275646313E+001, -2.75627822903E+001
+5.38215107554E+007, +5.44017492309E+001, -2.83925184883E+001
+5.40716108054E+007, +5.36076977161E+001, -2.92300158594E+001
+5.43217108554E+007, +5.27392305627E+001, -3.00597543624E+001
+5.45718109055E+007, +5.17842914780E+001, -3.09232696335E+001
+5.48219109555E+007, +5.07355402603E+001, -3.17584424581E+001
+5.50720110055E+007, +4.95967172211E+001, -3.25886721800E+001
+5.53221110555E+007, +4.83551893358E+001, -3.33909883756E+001
+5.55722111056E+007, +4.69811426983E+001, -3.41682543808E+001
+5.58223111556E+007, +4.55149459709E+001, -3.49052301996E+001
+5.60724112056E+007, +4.39261855949E+001, -3.55866823497E+001
+5.63225112556E+007, +4.22082837258E+001, -3.62066341320E+001
+5.65726113057E+007, +4.03602553702E+001, -3.67320773380E+001
+5.68227113557E+007, +3.83806317813E+001, -3.71253196900E+001
+5.70728114057E+007, +3.62566569924E+001, -3.74071851946E+001
+5.73229114557E+007, +3.40412315030E+001, -3.75296573991E+001
+5.75730115058E+007, +3.17065668390E+001, -3.74519140436E+001
+5.78231115558E+007, +2.92638302978E+001, -3.71713090158E+001
+5.80732116058E+007, +2.67784159403E+001, -3.66652082455E+001
+5.83233116558E+007, +2.42270343786E+001, -3.58865409970E+001
+5.85734117059E+007, +2.16653949165E+001, -3.48370734696E+001
+5.88235117559E+007, +1.91664345032E+001, -3.34939402250E+001
+5.90736118059E+007, +1.67373498369E+001, -3.18341605869E+001
+5.93237118559E+007, +1.44397529201E+001, -2.98823052748E+001
+5.95738119060E+007, +1.23164831540E+001, -2.76629853373E+001
+5.98239119560E+007, +1.04424816906E+001, -2.51914899838E+001
+6.00740120060E+007, +8.83142070624E+000, -2.25009713601E+001
+6.03241120560E+007, +7.53739896920E+000, -1.96348440227E+001
+6.05742121061E+007, +6.57908300558E+000, -1.66559618044E+001
+6.08243121561E+007, +5.96558760051E+000, -1.36154501780E+001
+6.10744122061E+007, +5.68627823206E+000, -1.05695886188E+001
+6.13245122561E+007, +5.75450084167E+000, -7.56591543862E+000
+6.15746123062E+007, +6.12612888226E+000, -4.67561135916E+000
+6.18247123562E+007, +6.78734144853E+000, -1.91735987895E+000
+6.20748124062E+007, +7.67829615129E+000, +6.64611875666E-001
+6.23249124562E+007, +8.78831354875E+000, +3.04974171137E+000
+6.25750125063E+007, +1.00452741330E+001, +5.22301591258E+000
+6.28251125563E+007, +1.14457791477E+001, +7.19484100453E+000
+6.30752126063E+007, +1.29272152170E+001, +8.94417677835E+000
+6.33253126563E+007, +1.44748148392E+001, +1.05031878386E+001
+6.35754127064E+007, +1.60557639654E+001, +1.18477035517E+001
+6.38255127564E+007, +1.76395033779E+001, +1.30181387336E+001
+6.40756128064E+007, +1.92347645692E+001, +1.40121485412E+001
+6.43257128564E+007, +2.07891264274E+001, +1.48454806533E+001
+6.45758129065E+007, +2.23165624041E+001, +1.55554969903E+001
+6.48259129565E+007, +2.37964347750E+001, +1.61170601712E+001
+6.50760130065E+007, +2.52482286014E+001, +1.65818324324E+001
+6.53261130565E+007, +2.66451896928E+001, +1.69339803829E+001
+6.55762131066E+007, +2.79832881929E+001, +1.72123661709E+001
+6.58263131566E+007, +2.92432000077E+001, +1.73907042522E+001
+6.60764132066E+007, +3.04578884457E+001, +1.75062006720E+001
+6.63265132566E+007, +3.16108667394E+001, +1.75814226675E+001
+6.65766133067E+007, +3.27225965835E+001, +1.75792024703E+001
+6.68267133567E+007, +3.37607103574E+001, +1.75437669715E+001
+6.70768134067E+007, +3.47607946410E+001, +1.74697902255E+001
+6.73269134567E+007, +3.56948058745E+001, +1.73594650659E+001
+6.75770135068E+007, +3.65847349428E+001, +1.72206447082E+001
+6.78271135568E+007, +3.74262278098E+001, +1.70589429223E+001
+6.80772136068E+007, +3.82212607205E+001, +1.68740706410E+001
+6.83273136568E+007, +3.89873574947E+001, +1.66869603623E+001
+6.85774137069E+007, +3.97013973971E+001, +1.64687258676E+001
+6.88275137569E+007, +4.03851953643E+001, +1.62356549214E+001
+6.90776138069E+007, +4.10359916730E+001, +1.59926125083E+001
+6.93277138569E+007, +4.16459975582E+001, +1.57528267620E+001
+6.95778139070E+007, +4.22208138945E+001, +1.55029468390E+001
+6.98279139570E+007, +4.27657604661E+001, +1.52450910901E+001
+7.00780140070E+007, +4.32767412241E+001, +1.49852039336E+001
+7.03281140570E+007, +4.37828754949E+001, +1.47078865478E+001
+7.05782141071E+007, +4.42260120116E+001, +1.44518303583E+001
+7.08283141571E+007, +4.46696729039E+001, +1.41797053060E+001
+7.10784142071E+007, +4.50903628580E+001, +1.39291717181E+001
+7.13285142571E+007, +4.54883739563E+001, +1.36617932008E+001
+7.15786143072E+007, +4.58564939132E+001, +1.34008864244E+001
+7.18287143572E+007, +4.62096511887E+001, +1.31400817430E+001
+7.20788144072E+007, +4.65462337814E+001, +1.28841009537E+001
+7.23289144572E+007, +4.68703873153E+001, +1.26188625115E+001
