"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.18207103552E+007, +5.58237897398E+001, -2.99576663864E+001
+5.20708104052E+007, +5.50163965755E+001, -3.07875539501E+001
+5.23209104552E+007, +5.41136050675E+001, -3.16087511257E+001
+5.25710105053E+007, +5.31591593346E+001, -3.24514916076E+001
+5.28211105553E+007, +5.21091936962E+001, -3.32536601954E+001
+5.30712106053E+007, +5.09737511361E+001, -3.40367572766E+001
+5.33213106553E+007, +4.97610100759E+001, -3.48034320307E+001
+5.35714107054E+007, +4.84560677332E+001, -3.55488759140E+001
+5.38215107554E+007, +4.70446907824E+001, -3.62340261428E+001
+5.40716108054E+007, +4.55414691106E+001, -3.68596269212E+001
+5.43217108554E+007, +4.39358758615E+001, -3.74438325434E+001
+5.45718109055E+007, +4.22535831994E+001, -3.79371307450E+001
+5.48219109555E+007, +4.04410948534E+001, -3.83439865338E+001
+5.50720110055E+007, +3.85260913379E+001, -3.86294900660E+001
+5.53221110555E+007, +3.65346107105E+001, -3.87814367309E+001
+5.55722111056E+007, +3.44703730851E+001, -3.88197795992E+001
+5.58223111556E+007, +3.23279755385E+001, -3.86867508250E+001
+5.60724112056E+007, +3.01364711113E+001, -3.83659853618E+001
+5.63225112556E+007, +2.78980533395E+001, -3.78893860197E+001
+5.65726113057E+007, +2.56208312998E+001, -3.71874732858E+001
+5.68227113557E+007, +2.33791332760E+001, -3.62843280735E+001
+5.70728114057E+007, +2.11579713180E+001, -3.51545255631E+001
+5.73229114557E+007, +1.89927815322E+001, -3.38167227203E+001
+5.75730115058E+007, +1.69300903032E+001, -3.22572073505E+001
+5.78231115558E+007, +1.49907513315E+001, -3.04960617754E+001
+5.80732116058E+007, +1.32024876575E+001, -2.85189616747E+001
+5.83233116558E+007, +1.15868622614E+001, -2.63943984205E+001
+5.85734117059E+007, +1.01809298824E+001, -2.41190822527E+001
+5.88235117559E+007, +8.99620713995E+000, -2.17173039889E+001
+5.90736118059E+007, +8.04208915212E+000, -1.92303300021E+001
+5.93237118559E+007, +7.34044797400E+000, -1.66874876648E+001
+5.95738119060E+007, +6.87178105476E+000, -1.41287790771E+001
+5.98239119560E+007, +6.65379363650E+000, -1.15768082463E+001
+6.00740120060E+007, +6.65747682398E+000, -9.07446709836E+000
+6.03241120560E+007, +6.88202542179E+000, -6.63115576041E+000
+6.05742121061E+007, +7.29964955670E+000, -4.28185727976E+000
+6.08243121561E+007, +7.88882829319E+000, -2.03746127727E+000
+6.10744122061E+007, +8.63736290958E+000, +7.39809925202E-002
+6.13245122561E+007, +9.52893700612E+000, +2.06069226636E+000
